article_id,title,subtitle,abstract,authors,publication_title,journal_title,publication_year,publication_date,doi,isbn,issn,eissn,document_type,publisher,language,volume,issue,page_start,page_end,page_count,keywords,subject_area,pdf_url,url,stable_url,access_type,is_open_access,peer_reviewed,citation_count,conference_location,source_databases,original_indices
9781007,How do we move towards true artificial intelligence,,"At present, the development of [::artificial::] [::intelligence::] technology has entered a new bottleneck period, and the algorithm dividend based on statistics has been exhausted. In the future, we should pay more attention to improving the efficient, intelligent collaboration among humans, machines, and the environment. This review first discusses the bottleneck problems encountered in the curr...",Wei Liu; Guangda Zhuang; Xin Liu; Shaobo Hu; Ruilin He; Yuhu Wang,"2021 IEEE 23rd Int Conf on High Performance Computing & Communications; 7th Int Conf on Data Science & Systems; 19th Int Conf on Smart City; 7th Int Conf on Dependability in Sensor, Cloud & Big Data Systems & Application (HPCC/DSS/SmartCity/DependSys)",,2021,20-22 Dec. 2021,10.1109/HPCC-DSS-SmartCity-DependSys53884.2021.00321,,,,IEEE Conferences,IEEE,,,,2156,2158,,,,,,,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",False,,0,,ieee,0@ieee
10953938,Effect of Artificial Intelligence on Human Resource Profession: A Paradigm Shift,,"Summary Human Resources are one of the most important resources in a business organization. Due to the advent of Information Technology, Human Resource Management (HRM) has witnessed a paradigm shift. The unprecedented development in the field of IT has positively influenced organizational practices. [::Artificial::] [::Intelligence::] (AI) which is IT&#x2010;based technology has come to be rec...",Jyoti Dashora; Karunesh Saxena,Impact of [::Artificial::] [::Intelligence::] on Organizational Transformation,,2022,,10.1002/9781119710301.ch4,,,,Wiley Books,Wiley,,,,57,71,,,,,,,"{'type': 'locked', 'message': 'Full text access may be available.'}",False,,0,,ieee,1@ieee
10730338,Patient Attitude on the Application of Artificial Intelligence in Diabetes Care,,"The integration of [::artificial::] [::intelligence::] (AI) into diabetes care holds the potential to transform patient management and improve outcomes, especially in Malaysia, where diabetes represents a major public health challenge. However, the adoption and effectiveness of AI in healthcare are significantly impacted by patient attitudes. This paper addresses the gap in understanding these att...",Maslin Masrom; Logeswary Krisnan; Yazriwati Yahya; Manimaran Krishnan Kaundan,2024 5th International Conference on [::Artificial::] [::Intelligence::] and Data Sciences (AiDAS),,2024,3-4 Sept. 2024,10.1109/AiDAS63860.2024.10730338,,,,IEEE Conferences,IEEE,,,,441,445,,,,,,,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",False,,0,,ieee,2@ieee
9718926,Construction of Enterprise Business Management Analysis Framework in the Development of Artificial Intelligence,,"In this era of rapid development, [::artificial::] [::intelligence::] has gradually entered our life, as a will be applied to the global technology, [::artificial::] [::intelligence::] in many fields have broad application prospects, [::artificial::] [::intelligence::] as the product of social development and technological innovation, has become a new round of scientific and technological innovati...",Meijing Song; Xinjian Chen,2021 International Conference on Computer Information Science and [::Artificial::] [::Intelligence::] (CISAI),,2021,17-19 Sept. 2021,10.1109/CISAI54367.2021.00139,,,,IEEE Conferences,IEEE,,,,689,692,,,,,,,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",False,,0,,ieee,3@ieee
9797546,Application and existing problems of computer network technology in the field of artificial intelligence,,"With the development of science and technology, computer technology is more and more widely used in people&#39;s life. As a branch of computer technology, [::artificial::] [::intelligence::] technology is also gradually developing and expanding, affecting people&#39;s life. Nowadays, the processing ability shown by simple computer technology has gradually lagged behind the times. If you want more convenie...",Genjin Chen; Qi Yuan,2021 2nd International Conference on [::Artificial::] [::Intelligence::] and Computer Engineering (ICAICE),,2021,5-7 Nov. 2021,10.1109/ICAICE54393.2021.00035,,,,IEEE Conferences,IEEE,,,,139,142,,,,,,,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",False,,0,,ieee,4@ieee
10953885,Artificial Intelligence: An Asset for the Financial Sector,,"Summary Nothing is permanent except change, and technology change is continuously evolving over the years; we have moved from radio to television and now to the web slowly and gradually where we are adopting AI. AI is nothing but performing its cognitive functions to extract and solve the problem more efficiently and effectively than humans. AI has successfully managed to erect what is thought ...",Swati Bandi; Anil Kothari,Impact of [::Artificial::] [::Intelligence::] on Organizational Transformation,,2022,,10.1002/9781119710301.ch16,,,,Wiley Books,Wiley,,,,259,287,,,,,,,"{'type': 'locked', 'message': 'Full text access may be available.'}",False,,0,,ieee,5@ieee
9793310,A Review on Artificial Intelligence with Deep Human Reasoning,,[::Artificial::] [::Intelligence::] (AI) is a broad term that can be construed to mean a focusing computer programming and development that is designed to train machines and to perform task. [::Artificial::] [::intelligence::] can be used to test theories of reasoning like cognitive reasoning and consciousness. Research has been conducted on the development of machines with human behavior and cogn...,Janmanchi Harika; Palavadi Baleeshwar; Kummari Navya; Hariharan Shanmugasundaram,2022 International Conference on Applied [::Artificial::] [::Intelligence::] and Computing (ICAAIC),,2022,9-11 May 2022,10.1109/ICAAIC53929.2022.9793310,,,,IEEE Conferences,IEEE,,,,81,84,,,,,,,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",False,,0,,ieee,6@ieee
9750746,The Risks and Countermeasures of Accounting Artificial Intelligence,,"Under the background of the information age, the development of science and technology has had an unprecedented situation, which makes people&#39;s lives have undergone tremendous changes, especially the development of [::artificial::] [::intelligence::], which has increasingly penetrated into the field of accounting, which has attracted the attention of staff in various industries. The development of...",Chunling Zhu; Yutong Guan,2022 3rd International Conference on Electronic Communication and [::Artificial::] [::Intelligence::] (IWECAI),,2022,14-16 Jan. 2022,10.1109/IWECAI55315.2022.00076,,,,IEEE Conferences,IEEE,,,,358,361,,,,,,,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",False,,0,,ieee,7@ieee
10729894,Research on the Application of Artificial Intelligence in Hotels,,"At present, driven by new theories and technologies such as the Internet and big data, [::artificial::] [::intelligence::] is developing rapidly, and all walks of life are actively integrating with [::artificial::] [::intelligence::] technology to advance the development of the industry. This article takes the application of [::artificial::] [::intelligence::] in hotels as the research object, pre...",Xiao Niu; Lixia Zhang,2024 3rd International Conference on [::Artificial::] [::Intelligence::] and Computer Information Technology (AICIT),,2024,20-22 Sept. 2024,10.1109/AICIT62434.2024.10729894,,,,IEEE Conferences,IEEE,,,,1,4,,,,,,,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",False,,0,,ieee,8@ieee
9719110,Analysis on the application of artificial intelligence in marketing,,"With the continuous development of modern information technology, various new development technologies are gradually emerging. As an important development content of the discipline of computer science, [::artificial::] [::intelligence::] can simulate human activities through intelligent systems or intelligent machines, so as to extend peopleâ€™s [::intelligence::]. [::Artificial::] [::intelligence::...",Rui Sun,2021 International Conference on Computer Information Science and [::Artificial::] [::Intelligence::] (CISAI),,2021,17-19 Sept. 2021,10.1109/CISAI54367.2021.00135,,,,IEEE Conferences,IEEE,,,,669,672,,,,,,,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",False,,0,,ieee,9@ieee
