unified_index,source_database,original_index
46,ebsco,46@ebsco
46,ieee,271@ieee
63,ebsco,63@ebsco
63,ieee,440@ieee
78,ebsco,78@ebsco
78,ieee,849@ieee
87,ebsco,87@ebsco
87,ieee,489@ieee
88,ebsco,88@ebsco
88,ieee,247@ieee
90,ebsco,90@ebsco
90,ieee,438@ieee
102,ebsco,102@ebsco
102,ieee,925@ieee
103,ebsco,103@ebsco
103,ieee,78@ieee
107,ebsco,107@ebsco
107,ieee,219@ieee
113,ebsco,113@ebsco
113,ieee,498@ieee
114,ebsco,114@ebsco
114,ieee,324@ieee
115,ebsco,115@ebsco
115,ieee,357@ieee
122,ebsco,122@ebsco
122,ieee,31@ieee
140,ebsco,140@ebsco
140,ieee,754@ieee
144,ebsco,144@ebsco
144,ieee,297@ieee
148,ebsco,148@ebsco
148,ieee,700@ieee
149,ebsco,149@ebsco
149,ieee,292@ieee
151,ebsco,151@ebsco
151,ieee,65@ieee
157,ebsco,157@ebsco
157,ieee,652@ieee
158,ebsco,158@ebsco
158,ieee,495@ieee
170,ebsco,170@ebsco
170,ieee,725@ieee
182,ebsco,182@ebsco
182,ieee,663@ieee
183,ebsco,183@ebsco
183,ieee,660@ieee
196,ebsco,196@ebsco
196,ieee,236@ieee
197,ebsco,197@ebsco
197,ieee,235@ieee
211,ebsco,211@ebsco
211,ieee,656@ieee
220,ebsco,220@ebsco
220,ieee,367@ieee
222,ebsco,222@ebsco
222,ieee,902@ieee
225,ebsco,225@ebsco
225,ieee,798@ieee
286,ebsco,287@ebsco
286,ieee,36@ieee
298,ebsco,299@ebsco
298,ieee,351@ieee
299,ebsco,300@ebsco
299,ieee,417@ieee
300,ebsco,301@ebsco
300,ieee,82@ieee
301,ebsco,302@ebsco
301,ieee,124@ieee
303,ebsco,304@ebsco
303,ieee,83@ieee
304,ebsco,305@ebsco
304,ieee,273@ieee
305,ebsco,306@ebsco
305,ieee,77@ieee
306,ebsco,307@ebsco
306,ieee,377@ieee
307,ebsco,308@ebsco
307,ieee,95@ieee
308,ebsco,309@ebsco
308,ieee,419@ieee
309,ebsco,310@ebsco
309,ieee,626@ieee
315,ebsco,316@ebsco
315,ieee,698@ieee
319,ebsco,320@ebsco
319,ieee,205@ieee
320,ebsco,321@ebsco
320,ieee,412@ieee
322,ebsco,323@ebsco
322,ieee,72@ieee
323,ebsco,324@ebsco
323,ieee,359@ieee
325,ebsco,326@ebsco
325,ieee,201@ieee
326,ebsco,327@ebsco
326,ieee,523@ieee
362,ebsco,363@ebsco
362,ieee,70@ieee
363,ebsco,364@ebsco
363,ieee,146@ieee
365,ebsco,366@ebsco
365,ieee,391@ieee
368,ebsco,369@ebsco
368,ieee,799@ieee
369,ebsco,370@ebsco
369,ieee,12@ieee
373,ebsco,374@ebsco
373,ieee,145@ieee
380,ebsco,381@ebsco
380,ieee,892@ieee
381,ebsco,382@ebsco
381,ieee,0@ieee
382,ebsco,383@ebsco
382,ieee,717@ieee
384,ebsco,385@ebsco
384,ieee,143@ieee
390,ebsco,391@ebsco
390,ieee,52@ieee
396,ebsco,397@ebsco
396,ieee,248@ieee
403,ebsco,404@ebsco
403,ieee,127@ieee
404,ebsco,405@ebsco
404,ieee,811@ieee
407,ebsco,408@ebsco
407,ieee,349@ieee
410,ebsco,411@ebsco
410,ieee,474@ieee
416,ebsco,417@ebsco
416,ieee,929@ieee
417,ebsco,418@ebsco
417,ieee,426@ieee
420,ebsco,421@ebsco
420,ieee,989@ieee
443,ebsco,444@ebsco
443,ieee,497@ieee
446,ebsco,447@ebsco
446,ieee,522@ieee
448,ebsco,449@ebsco
448,ieee,762@ieee
461,ebsco,462@ebsco
461,ieee,136@ieee
464,ebsco,465@ebsco
464,ieee,32@ieee
465,ebsco,466@ebsco
465,ieee,61@ieee
471,ebsco,472@ebsco
471,ieee,206@ieee
517,ebsco,518@ebsco
517,ieee,538@ieee
525,ebsco,527@ebsco
525,ieee,513@ieee
535,ebsco,537@ebsco
535,ieee,701@ieee
543,ebsco,545@ebsco
543,ieee,384@ieee
551,ebsco,553@ebsco
551,ieee,407@ieee
552,ebsco,554@ebsco
552,ieee,10@ieee
557,ebsco,559@ebsco
557,ieee,423@ieee
558,ebsco,560@ebsco
558,ieee,916@ieee
569,ebsco,571@ebsco
569,ieee,728@ieee
581,ebsco,583@ebsco
581,ieee,880@ieee
582,ebsco,584@ebsco
582,ieee,312@ieee
635,ebsco,638@ebsco
635,ieee,845@ieee
645,ebsco,648@ebsco
645,ieee,539@ieee
652,ebsco,655@ebsco
652,ieee,877@ieee
682,ebsco,686@ebsco
682,ieee,283@ieee
685,ebsco,689@ebsco
685,ieee,817@ieee
692,ebsco,696@ebsco
692,ieee,991@ieee
710,ebsco,715@ebsco
710,ieee,524@ieee
725,ebsco,731@ebsco
725,ieee,697@ieee
739,ebsco,745@ebsco
739,ieee,666@ieee
743,ebsco,749@ebsco
743,ieee,14@ieee
768,ebsco,774@ebsco
768,ieee,400@ieee
779,ebsco,785@ebsco
779,ieee,250@ieee
780,ebsco,786@ebsco
780,ieee,27@ieee
783,ebsco,789@ebsco
783,ieee,106@ieee
785,ebsco,791@ebsco
785,ieee,634@ieee
806,ebsco,813@ebsco
806,ieee,125@ieee
807,ebsco,814@ebsco
807,ieee,258@ieee
809,ebsco,816@ebsco
809,ieee,653@ieee
810,ebsco,817@ebsco
810,ieee,218@ieee
812,ebsco,819@ebsco
812,ieee,504@ieee
813,ebsco,820@ebsco
813,ieee,133@ieee
814,ebsco,821@ebsco
814,ieee,281@ieee
818,ebsco,825@ebsco
818,ieee,818@ieee
823,ebsco,830@ebsco
823,ieee,837@ieee
845,ebsco,852@ebsco
845,ieee,933@ieee
847,ebsco,854@ebsco
847,ieee,469@ieee
849,ebsco,856@ebsco
849,ieee,740@ieee
855,ebsco,863@ebsco
855,ieee,662@ieee
868,ebsco,876@ebsco
868,ieee,572@ieee
871,ebsco,879@ebsco
871,ieee,714@ieee
879,ebsco,887@ebsco
879,ieee,521@ieee
880,ebsco,888@ebsco
880,ieee,173@ieee
881,ebsco,889@ebsco
881,ieee,874@ieee
884,ebsco,892@ebsco
884,ieee,379@ieee
887,ebsco,895@ebsco
887,ieee,894@ieee
894,ebsco,902@ebsco
894,ieee,630@ieee
903,ebsco,911@ebsco
903,ieee,38@ieee
928,ebsco,936@ebsco
928,ieee,980@ieee
956,ebsco,964@ebsco
956,ieee,503@ieee
